1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
[ 1.  0.  0.  0.  0.  0.  3.  0.  2.  8. 32. 64.],[ 1.  1.  0.  0.  0.  0.  3.  0.  4. 64. 20.  8.],[  1.   1.   1.   0.   0.   1.   4.   0.   4. 128.  10.  64.],[  1.   1.   0.   0.   0.   0.   4.   0.   4. 128.  10.  64.],[ 1.  0.  0.  0.  0.  0.  3.  0.  1. 20. 64. 20.],[  1.   0.   0.   0.   0.   0.   2.   0.   4. 128.   8. 128.],[  1.   0.   0.   0.   0.   0.   1.   0.   1. 128.  32.   8.],[  1.   1.   0.   0.   0.   1.   2.   0.   4.   8.   0. 128.],[ 1.  0.  0.  0.  0.  0.  1.  0.  4. 64.  0.  0.],[ 1.  0.  0.  0.  0.  1.  2.  0.  4.  8. 20. 10.],[  1.   1.   1.   1.   1.   0.   4.   0.   1. 128.   0.  16.],[  1.   1.   0.   0.   0.   1.   3.   0.   4.  64.  16. 128.],[1. 1. 1. 1. 1. 1. 3. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  64.  16.],[ 1.  1.  1.  0.  0.  1.  3.  0.  1. 64. 16. 64.],[  1.   0.   1.   1.   1.   1.   4.   0.   2. 128.  20.   8.],[  1.   1.   1.   1.   1.   1.   3.   0.   1. 128.  64.  64.],[  1.   0.   1.   1.   1.   1.   3.   0.   3. 128.  64. 128.],[ 1.  0.  1.  0.  0.  1.  2.  0.  4. 64. 64. 64.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  64.  16.],[1. 1. 1. 1. 1. 1. 4. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[  1.   0.   1.   1.   1.   1.   3.   0.   1. 128.  16.  64.],[  1.   1.   1.   0.   0.   1.   2.   0.   3. 128.  64.  20.],[  1.   1.   0.   0.   0.   1.   2.   0.   1. 128.  64.   0.],[  1.   1.   1.   0.   0.   1.   4.   0.   2. 128. 128.  20.],[  1.   0.   1.   1.   1.   1.   2.   0.   1. 128.  64.  20.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  32.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   2. 128.  32.  16.],[  1.   1.   0.   0.   0.   1.   4.   0.   1. 128.  32. 128.],[  1.   1.   1.   0.   0.   1.   2.   0.   2. 128.   0.   0.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  32.   0.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.   8.],[  1.   1.   1.   0.   0.   1.   2.   0.   3. 128.  32.   8.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  32.   0.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  20.  16.],[1. 1. 1. 1. 1. 1. 2. 1. 0. 0. 0. 0.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32. 128.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.  16.],[ 1.  1.  0.  0.  0.  1.  3.  0.  2. 64. 20. 64.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  20.  64.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  10.  16.],[  1.   1.   1.   0.   0.   1.   2.   0.   2. 128.  10.   8.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  10.  10.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.  16.],[  1.   1.   1.   0.   0.   1.   2.   0.   2. 128.  16.   0.],[  1.   1.   1.   0.   0.   1.   2.   0.   4. 128.  16.  16.],[  1.   1.   1.   0.   0.   1.   2.   0.   3. 128.  10.   8.],[1. 1. 1. 1. 1. 1. 2. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   1.   2.   0.   4. 128.  20. 128.],[  1.   1.   1.   1.   1.   1.   2.   0.   4. 128.  10.  16.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.   0.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  20.  32.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  16. 128.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.   8.],[1. 1. 1. 0. 0. 1. 4. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.  32.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  20.  20.],[  1.   1.   1.   0.   0.   1.   4.   0.   2. 128.  20.  20.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  20.  16.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  64.  10.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.  32.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.   8.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.  20.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  64.  20.],[  1.   0.   1.   0.   0.   1.   4.   0.   1. 128.  20. 128.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  10.  20.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  20. 128.],[  1.   1.   1.   0.   0.   0.   4.   0.   2. 128.  20.  32.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.  20.  10.],[  1.   1.   1.   1.   1.   0.   4.   0.   1. 128.  20.  64.],[  1.   1.   1.   0.   0.   1.   2.   0.   4. 128.  16.  20.],[  1.   1.   1.   1.   1.   0.   1.   0.   2. 128.  32.  20.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  20.  20.],[  1.   1.   1.   0.   0.   0.   1.   0.   1. 128.  20.  64.],[  1.   1.   1.   0.   0.   0.   1.   0.   1. 128.  32.  16.],[  1.   1.   1.   0.   0.   0.   3.   0.   1. 128.  32.  16.],[  1.   1.   1.   1.   1.   0.   3.   0.   4. 128.  20.  16.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128. 128.  10.],[  1.   1.   0.   0.   0.   0.   2.   0.   1. 128.  20. 128.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.  10.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  20.  16.],[ 1.  1.  1.  1.  1.  1.  3.  0.  1. 64. 16. 64.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  16.  32.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  20. 128.],[  1.   1.   1.   1.   1.   0.   1.   0.   1. 128.  10.  64.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  10.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.  16.],[  1.   1.   0.   0.   0.   1.   4.   0.   1. 128.  10. 128.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  10. 128.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  10.  16.],[ 1.  1.  1.  0.  0.  0.  3.  0.  2. 64. 10. 20.],[  1.   1.   1.   1.   1.   0.   3.   0.   3. 128.  10.  16.],[  1.   1.   1.   0.   0.   1.   2.   0.   2. 128.   8.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.   8.  20.],[  1.   1.   1.   0.   0.   1.   2.   0.   4. 128.  32.  64.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.   8.  16.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  10.   0.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.  20.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.   8.  32.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.  16.],[  1.   1.   1.   0.   0.   0.   4.   0.   3. 128.  16.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  10.  64.],[  1.   1.   1.   0.   0.   1.   2.   0.   4. 128.  10.  32.],[ 1.  1.  1.  1.  1.  1.  2.  0.  2. 64. 64.  8.],[  1.   0.   1.   0.   0.   1.   2.   0.   1. 128.  10.  64.],[1. 1. 1. 0. 0. 1. 3. 1. 0. 0. 0. 0.],[  1.   1.   1.   1.   1.   1.   2.   0.   2. 128.  10.  32.],[  1.   1.   1.   1.   1.   0.   4.   0.   1. 128.  20.   8.],[  1.   0.   1.   0.   0.   1.   3.   0.   3. 128.  10.  16.],[ 1.  1.  1.  1.  1.  0.  1.  0.  3. 64. 64.  8.],[ 1.  1.  1.  0.  0.  0.  1.  0.  1. 64. 64. 16.],[  1.   1.   0.   0.   0.   1.   3.   0.   3. 128.  16.  16.],[  1.   0.   1.   0.   0.   1.   3.   0.   4. 128.  16.  16.],[  1.   1.   1.   1.   1.   0.   1.   0.   1. 128.  20.  64.],[  1.   1.   1.   1.   1.   1.   2.   0.   1.  64. 128.  32.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.  32.  64.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2. 64. 32. 16.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1. 64. 32. 20.],[ 1.  1.  1.  0.  0.  0.  4.  0.  3. 64. 32. 32.],[  1.   1.   1.   0.   0.   1.   3.   0.   3. 128.  32.  20.],[ 1.  1.  1.  0.  0.  0.  2.  0.  1. 64. 32.  0.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  64.  64.],[  1.   1.   1.   0.   0.   0.   2.   0.   1.  64. 128. 128.],[  1.   1.   1.   1.   1.   0.   4.   0.   1. 128.  32.  64.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  32.  16.],[  1.   1.   1.   1.   1.   1.   3.   0.   2. 128.  32.  16.],[  1.   1.   1.   1.   1.   1.   4.   0.   4. 128.  16.  20.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.  64.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.  16.],[  1.   1.   1.   1.   1.   0.   3.   0.   3. 128.  20.  20.],[  1.   1.   1.   1.   1.   0.   1.   0.   4. 128.  20.  16.],[  1.   1.   1.   1.   1.   0.   4.   0.   1. 128.  32.  16.],[  1.   1.   1.   0.   0.   0.   1.   0.   1. 128.  16.  64.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.  16.],[  1.   1.   1.   1.   1.   1.   4.   0.   3. 128.  16.  16.],[ 1.  1.  1.  1.  1.  1.  4.  0.  1. 64. 32. 64.],[  1.   1.   1.   0.   0.   1.   4.   0.   4. 128.  32.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  20.  16.],[  1.   1.   1.   0.   0.   1.   3.   0.   1. 128.  20.  16.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.  16.],[1. 1. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  32.  10.],[  1.   1.   1.   1.   1.   1.   2.   0.   2. 128.  20.  16.],[ 1.  0.  1.  1.  1.  1.  3.  0.  2. 64. 64.  8.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  20.  16.],[ 1.  1.  1.  1.  1.  0.  1.  0.  1. 64. 16. 16.],[  1.   1.   1.   1.   1.   1.   2.   0.   2. 128.  20.  32.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.  32.  16.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.   8.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.  20.],[  1.   1.   0.   0.   0.   1.   2.   0.   2. 128.  20.  16.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  20.  16.],[  1.   1.   0.   0.   0.   1.   3.   0.   1. 128.  20.  16.],[  1.   1.   0.   0.   0.   0.   2.   0.   1. 128.  20.  20.],[  1.   1.   1.   0.   0.   1.   3.   0.   3. 128.   8.  16.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  20.  20.],[  1.   1.   0.   0.   0.   1.   2.   0.   1. 128.  32.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  16.   8.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  16.  20.],[  1.   1.   0.   0.   0.   1.   2.   0.   2. 128.  20.  20.],[  1.   1.   1.   1.   1.   0.   3.   0.   1. 128.  32.  32.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  16.   8.],[  1.   1.   0.   0.   0.   0.   3.   0.   1. 128.  32.  32.],[1. 1. 1. 1. 1. 0. 2. 1. 0. 0. 0. 0.],[  1.   1.   1.   1.   1.   0.   2.   0.   1. 128.  32.  10.],[  1.   1.   1.   1.   1.   0.   3.   0.   1. 128.  32.  10.],[  1.   1.   1.   1.   1.   1.   3.   0.   1. 128.  16.  20.],[  1.   1.   1.   1.   1.   0.   1.   0.   2. 128.  20.  10.],[  1.   1.   1.   1.   1.   0.   2.   0.   4. 128.  20.  10.],[  1.   1.   1.   0.   0.   1.   3.   0.   1. 128.  16.  32.],[  1.   1.   0.   0.   0.   1.   2.   0.   1. 128.  32.  10.],[  1.   1.   1.   1.   1.   0.   1.   0.   1. 128.  20.  10.],[  1.   1.   0.   0.   0.   1.   2.   0.   1. 128. 128.  20.],[  1.   0.   1.   1.   1.   1.   2.   0.   4. 128.  16.  20.],[  1.   1.   0.   0.   0.   1.   2.   0.   1. 128.  32.  20.],[  1.   1.   0.   0.   0.   1.   4.   0.   1. 128.  20.  20.],[  1.   1.   1.   1.   1.   0.   4.   0.   1. 128.  16.   0.],[  1.   1.   1.   0.   0.   0.   4.   0.   3.  64. 128.  16.],[  1.   1.   1.   1.   1.   0.   2.   0.   1. 128.  32.  10.],[  1.   0.   1.   0.   0.   1.   2.   0.   2. 128.  32.  10.],[  1.   1.   0.   0.   0.   1.   4.   0.   1. 128.  20.   0.],[  1.   1.   1.   1.   1.   1.   2.   0.   2. 128.  16.  64.],[  1.   1.   0.   0.   0.   1.   2.   0.   1. 128.  16.  32.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.  16.  32.],[  1.   0.   1.   1.   1.   0.   4.   0.   4. 128.  20.  16.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.  16.  32.],[  1.   1.   1.   0.   0.   0.   2.   0.   1. 128.  16.  32.],[ 1.  1.  1.  1.  1.  0.  4.  0.  4. 64. 32. 32.],[  1.   0.   1.   1.   1.   1.   2.   0.   1. 128.  64.  20.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  32.   8.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  32.  16.],[  1.   1.   1.   1.   1.   0.   2.   0.   1. 128.  20.  10.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  64.  10.],[  1.   1.   1.   0.   0.   0.   2.   0.   1. 128.  32.  10.],[  1.   1.   1.   1.   1.   0.   3.   0.   1. 128.  20.  32.],[  1.   1.   1.   1.   1.   0.   1.   0.   1. 128.  32.  10.],[  1.   1.   1.   1.   1.   0.   2.   0.   2. 128.  20.  10.],[  1.   1.   1.   1.   1.   1.   2.   0.   2. 128.  16.  10.],[  1.   1.   1.   0.   0.   1.   4.   0.   1. 128.  20.  32.],[  1.   1.   1.   1.   1.   0.   2.   0.   3. 128.  20.  10.],[ 1.  1.  1.  0.  0.  0.  4.  0.  2. 20. 64. 16.],[  1.   1.   0.   0.   0.   1.   4.   0.   1. 128.  20.  64.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  20.  16.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1. 20. 32. 20.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1. 16. 20. 16.],[  1.   1.   1.   0.   0.   0.   1.   0.   1. 128.  20.  10.],[  1.   1.   1.   1.   1.   0.   2.   0.   3. 128.  20.  10.],[  1.   1.   1.   0.   0.   1.   2.   0.   1. 128.  16.  16.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  32.   8.],[  1.   1.   1.   0.   0.   0.   4.   0.   1. 128.  16.  10.],[  1.   1.   1.   0.   0.   0.   4.   0.   1.  32.  32. 128.],[  1.   1.   1.   1.   1.   0.   2.   0.   1. 128.  20.  10.],[  1.   1.   1.   1.   1.   0.   3.   0.   4. 128.  16.  10.],[  1.   1.   1.   1.   1.   0.   4.   0.   2.  32. 128.  10.],[  1.   1.   1.   1.   1.   1.   2.   0.   3. 128.  32.  20.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4. 64. 64. 64.],[  1.   1.   0.   0.   0.   1.   2.   0.   3. 128.  20.  20.],[  1.   1.   1.   1.   1.   1.   2.   0.   2. 128. 128.  32.],[  1.   1.   1.   1.   1.   1.   4.   0.   1. 128.  20.  64.],[  1.   0.   0.   0.   0.   1.   2.   0.   4. 128.  20.  16.],[  1.   1.   1.   1.   1.   1.   3.   0.   3. 128.   8.  16.]
12045.8,6323.2,5879.8,6484.4,7833.8,7166.6,7061.2,8789.6,8570.2,9316.4,7647.4,6691.2,9154.0,5500.4,5902.4,5897.0,5467.0,5796.4,6141.6,5411.2,9096.2,9328.6,6267.4,5487.4,5841.4,5648.4,6081.2,5258.8,5221.8,5906.2,7770.6,5529.2,5350.2,5365.0,5527.6,5263.2,9100.0,5524.0,5258.6,6259.8,5555.6,5432.0,5693.0,5527.6,5258.6,5724.8,5274.0,5686.6,9100.0,5596.4,5477.8,5513.2,5346.0,5726.4,5350.2,9066.0,5425.4,5213.4,5201.4,5263.2,5433.0,5425.4,5312.2,5262.2,5525.8,6396.0,5547.8,5640.0,5331.8,5310.2,5582.2,5270.8,5338.0,5213.4,5720.0,5401.6,5291.8,5204.6,5784.8,6251.6,5254.4,5210.0,5902.8,5387.6,5608.4,5977.4,5475.0,5243.2,6875.8,6238.8,5534.6,6282.0,5426.8,5626.6,5475.6,5538.2,5693.4,6350.4,5273.2,5711.8,5258.6,5306.4,5899.2,5550.4,5520.0,7062.6,9085.0,5591.6,5333.2,5851.2,5652.6,5480.2,5703.4,5609.2,5640.6,5670.2,5551.0,5488.4,5528.2,5490.2,5329.4,5683.4,5489.4,5493.6,5585.4,5253.6,5233.8,5245.4,5535.8,5241.6,5257.4,5308.2,5249.8,5721.8,5241.6,5248.2,5642.6,5229.4,5210.0,5252.2,5241.6,9113.0,5254.4,5220.8,6433.0,5263.2,5758.2,5324.4,5248.8,5350.2,5262.2,5698.2,5235.8,5643.6,5873.8,5547.2,5243.8,5732.6,5387.4,5292.0,5701.0,5420.8,5450.6,5841.2,9091.8,5218.2,5253.0,5260.2,5342.4,5237.0,5429.2,5737.0,5353.8,6324.4,5575.8,5755.2,5641.2,5805.8,5502.0,5218.2,5986.8,6021.6,5570.8,5800.2,5372.4,5634.4,5372.4,5403.4,5439.4,6081.2,5319.2,5258.6,5225.6,5433.0,5301.4,5344.8,5350.4,5221.2,5345.2,5328.2,5252.6,5798.6,5987.6,5235.8,6182.8,7218.8,5472.6,5252.6,5311.0,5322.6,5380.8,5969.0,5225.6,5308.6,5581.2,5277.8,5553.6,5797.2,5473.8,5581.2,6021.6,5543.0
200
