1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213
[  7.  42. 279.  -3. 254.  10.   0. 757. 159.],"[ 7.000e+00  1.160e+02  6.810e+02 -2.000e+00  2.260e+02  1.700e+01
  0.000e+00  2.579e+03  3.130e+02]",[  3.  69. 684.  -4. 260.  11.   1. 450. 346.],[ 10.  97. 872.  -2. 140.  11.   0. 848. 108.],"[ 3.000e+00  8.600e+01  4.490e+02 -4.000e+00  2.020e+02  1.100e+01
  1.000e+00  2.017e+03  2.370e+02]","[ 8.000e+00  5.300e+01  3.300e+02 -3.000e+00  1.260e+02  1.800e+01
  0.000e+00  3.298e+03  3.490e+02]","[ 4.000e+00  8.700e+01  7.670e+02 -4.000e+00  2.950e+02  1.100e+01
  0.000e+00  4.584e+03  2.420e+02]","[ 8.000e+00  4.200e+01  3.890e+02 -1.000e+00  1.930e+02  6.000e+00
  0.000e+00  3.831e+03  1.400e+02]",[  9.  67. 952.  -4. 209.   6.   1. 332.  70.],"[ 6.000e+00  7.600e+01  9.690e+02 -4.000e+00  2.870e+02  1.700e+01
  1.000e+00  2.605e+03  4.770e+02]","[ 8.000e+00  5.300e+01  3.300e+02 -3.000e+00  1.260e+02  1.800e+01
  0.000e+00  3.298e+03  3.490e+02]","[ 8.000e+00  5.300e+01  3.300e+02 -3.000e+00  1.260e+02  1.800e+01
  0.000e+00  3.298e+03  3.490e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 10.  71. 340.  -2. 148.  19.   0. 135. 288.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   4.   55.  266.   -2.  132.   18.    0. 1384.  365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 10.  71. 340.  -2. 148.  19.   0. 135. 288.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 10.  48. 474.  -2. 107.  20.   0. 877. 329.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   8.   50.  532.   -4.  153.   17.    0. 2209.  216.],[ 10.  54. 675.  -3. 112.  14.   0. 134. 492.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   4.   38.  394.   -4.  116.   11.    0. 1865.  315.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7. 104. 428.  -4. 107.  16.   0. 478.  92.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   7.   68.  368.   -5.  190.    6.    0. 1743.  229.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7. 109. 516.  -4. 281.  16.   0. 706. 475.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   9.   54.  966.   -2.  130.   12.    0. 1638.  303.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],"[ 1.000e+01  7.500e+01  5.170e+02 -2.000e+00  1.350e+02  1.500e+01
  0.000e+00  2.115e+03  2.240e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  5.  88. 480.  -4. 127.  14.   0. 873. 352.],[   7.   80.  606.   -4.  174.   16.    0. 1031.  372.],"[ 1.100e+01  8.900e+01  3.930e+02 -2.000e+00  1.080e+02  5.000e+00
  1.000e+00  1.183e+03  4.380e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  8.  98. 360.  -3. 104.  14.   0. 953. 465.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  38. 396.  -3. 105.  15.   0. 606. 226.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   5.   84.  406.   -3.  103.   18.    0. 1305.  487.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],"[ 1.000e+01  6.700e+01  3.250e+02 -3.000e+00  1.390e+02  1.700e+01
  0.000e+00  3.076e+03  4.060e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  8.  36. 420.  -3. 163.  16.   1. 368. 360.],[  4. 118. 554.  -2. 108.   7.   0. 722. 473.],[  9.  32. 269.  -4. 195.  13.   0. 839. 377.],"[ 9.000e+00  3.800e+01  5.900e+02 -4.000e+00  1.850e+02  8.000e+00
  0.000e+00  4.316e+03  2.580e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],"[ 1.000e+01  6.700e+01  3.250e+02 -3.000e+00  1.390e+02  1.700e+01
  0.000e+00  3.076e+03  4.060e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 11.  71. 296.  -3. 145.  14.   0. 909. 497.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  8.  39. 541.  -2. 124.  20.   0. 604. 321.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  8.  39. 541.  -2. 124.  20.   0. 604. 321.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 10.  71. 340.  -2. 148.  19.   0. 135. 288.],[ 10.  48. 474.  -2. 107.  20.   0. 877. 329.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],"[ 5.000e+00  9.900e+01  9.760e+02 -4.000e+00  1.010e+02  9.000e+00
  1.000e+00  3.981e+03  5.000e+00]",[  11.   79.  400.   -3.  132.   14.    0. 2350.  289.],"[ 5.000e+00  7.900e+01  3.080e+02 -5.000e+00  1.960e+02  1.300e+01
  1.000e+00  3.705e+03  4.280e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  11.   38.  881.   -4.  295.   15.    0. 2624.   70.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],"[ 1.000e+01  6.700e+01  3.250e+02 -3.000e+00  1.390e+02  1.700e+01
  0.000e+00  3.076e+03  4.060e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],"[ 2.000e+00  1.200e+02  3.260e+02 -1.000e+00  1.470e+02  1.200e+01
  1.000e+00  4.121e+03  3.840e+02]",[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 10.  35. 349.  -1. 111.   5.   0.  85.   8.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[ 10.  54. 675.  -3. 112.  14.   0. 134. 492.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[   6.   56.  743.   -4.  133.   11.    0. 1024.  501.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  10.   77.  573.   -4.  160.   13.    0. 2036.  438.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  11.   79.  400.   -3.  132.   14.    0. 2350.  289.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  8.  47. 666.  -3. 116.  16.   0. 889. 335.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.],[  7.  39. 467.  -3. 132.  15.   0. 859. 365.]
-78005.31667,-76042.33667,-67931.17667,-78302.61333,-74685.74,-81469.17333,-67200.06667,-69459.25,-73563.38667,-72715.75333,-81469.17333,-81469.17333,-86667.76667,-76209.04,-86667.76667,-86667.76667,-74301.73333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-76209.04,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-79928.17667,-86667.76667,-70712.84,-69977.51667,-86667.76667,-73379.42,-86667.76667,-70316.05,-86667.76667,-70429.57,-86667.76667,-69183.13333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-63233.59333,-86667.76667,-75421.98333,-86667.76667,-86667.76667,-74121.66,-79609.44667,-77228.33,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-80808.08,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-75461.63667,-86667.76667,-86667.76667,-86667.76667,-73734.83,-86667.76667,-86667.76667,-75183.84667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-73016.04667,-75254.88,-69651.49,-65306.26333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-75183.84667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-71916.08,-86667.76667,-86667.76667,-73653.20333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-73653.20333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-76209.04,-79928.17667,-86667.76667,-86667.76667,-75161.91,-72650.67333,-74160.70333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-71632.07,-86667.76667,-75183.84667,-86667.76667,-72069.44,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-73086.43,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-69977.51667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-79007.99,-86667.76667,-71638.77,-86667.76667,-86667.76667,-72650.67333,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-66405.9,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667,-86667.76667
44
