1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
[ 1.  0.  0.  0.  0.  1.  2.  0.  2. 64. 10. 20.],[  1.   0.   1.   1.   1.   1.   2.   0.   1.  64. 128.   8.],[1. 0. 1. 1. 1. 1. 2. 0. 2. 0. 8. 8.],[ 1.  1.  1.  0.  0.  0.  3.  0.  4. 64.  0. 20.],[ 1.  1.  0.  0.  0.  0.  2.  0.  2. 20.  0.  8.],[  1.   0.   1.   0.   0.   0.   2.   0.   2.  10. 128. 128.],[ 1.  1.  1.  1.  1.  1.  3.  0.  2. 64. 20. 16.],[ 1.  0.  1.  0.  0.  0.  4.  0.  2. 20.  8.  8.],[ 1.  0.  1.  0.  0.  1.  2.  0.  1. 16. 10. 16.],[ 1.  0.  1.  1.  1.  1.  4.  0.  4. 10. 20. 16.],[1. 0. 1. 1. 1. 1. 3. 0. 2. 0. 8. 0.],[ 1.  0.  1.  1.  1.  1.  2.  0.  2.  0.  8. 10.],[ 1.  0.  1.  1.  1.  1.  2.  0.  2.  8.  8. 10.],[ 1.  0.  1.  1.  1.  1.  2.  0.  2.  0.  0. 10.],[ 1.  1.  1.  1.  1.  1.  2.  0.  2.  0. 16.  8.],[ 1.  0.  1.  1.  1.  1.  2.  0.  3.  0.  8. 10.],[1. 1. 1. 1. 1. 1. 2. 1. 0. 0. 0. 0.],[ 1.  0.  1.  0.  0.  1.  2.  0.  3.  0. 16. 10.],[1. 1. 1. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 0. 1. 0. 3. 0. 8. 8.],[ 1.  0.  1.  0.  0.  1.  2.  0.  2.  0. 16.  8.],[ 1.  1.  1.  1.  1.  1.  2.  0.  4.  0.  8. 10.],[ 1.  0.  1.  1.  1.  1.  2.  0.  4.  0.  8. 10.],[ 1.  1.  1.  1.  1.  1.  2.  0.  2.  0.  8. 10.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 10. 16.],[  1.   1.   0.   0.   0.   1.   2.   0.   1.   0. 128. 128.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1.  0. 10. 16.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 10. 16.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 10. 20.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1.  0. 20. 16.],[ 1.  1.  1.  1.  1.  0.  4.  0.  1.  0. 20. 10.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1. 64. 20. 16.],[ 1.  1.  1.  0.  0.  1.  4.  0.  2.  0. 16. 16.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1. 20. 20. 16.],[ 1.  1.  0.  0.  0.  1.  4.  0.  1.  0. 16. 16.],[  1.   1.   1.   1.   1.   1.   4.   0.   2.   0. 128.  16.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1. 64.  8. 10.],[ 1.  0.  1.  1.  1.  0.  1.  0.  3.  0. 16. 16.],[ 1.  0.  1.  0.  0.  0.  1.  0.  3.  0. 10. 10.],[  1.   1.   1.   0.   0.   0.   3.   0.   1.   0.  16. 128.],[ 1.  0.  1.  0.  0.  1.  2.  0.  1. 64. 20. 16.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1. 10. 20. 16.],[  1.   1.   1.   0.   0.   1.   3.   0.   4.   0.  20. 128.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2. 64. 20. 16.],[ 1.  1.  1.  1.  1.  1.  4.  0.  2. 64.  8. 16.],[  1.   1.   1.   0.   0.   1.   4.   0.   4.   0.  20. 128.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2. 64. 20.  0.],[  1.   1.   1.   0.   0.   1.   4.   0.   4.   0.  32. 128.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 32.  0.],[  1.   1.   0.   0.   0.   0.   4.   0.   4.   0.  32. 128.],[  1.   1.   1.   0.   0.   1.   4.   0.   4.   0.   0. 128.],[  1.   1.   1.   1.   1.   0.   4.   0.   4.   0.  32. 128.],[  1.   1.   1.   0.   0.   0.   4.   0.   4.   0.  32. 128.],[  1.   1.   1.   0.   0.   1.   4.   0.   4.   0.  32. 128.],[  1.   1.   1.   0.   0.   1.   4.   0.   4.   0.  32. 128.],[1. 1. 1. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   1.   3.   0.   4.   0.  32. 128.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 32.  0.],[1. 1. 1. 0. 0. 0. 4. 1. 0. 0. 0. 0.]
8019.0,6649.2,5534.6,6815.2,6982.4,9085.6,5654.2,10275.2,10771.6,8693.0,5730.0,5427.0,15292.4,8182.8,5073.6,5239.8,9100.0,5254.0,9102.8,5234.4,5660.8,4977.6,5262.8,5036.2,4993.4,7215.8,5008.8,4993.4,4993.4,4914.2,4987.2,5695.8,4869.2,6835.2,5286.6,7070.4,6454.4,5275.8,5507.8,4880.0,7269.2,8472.6,4820.6,5647.4,6213.2,4786.8,6187.2,4676.2,4651.6,5115.0,7736.8,4704.8,4688.2,4676.2,4676.2,9102.8,4712.8,4651.6,9058.0
54
