1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
[  1.   0.   1.   0.   0.   1.   2.   0.   4.   0. 128.   0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  4. 32.  8. 64.],[  1.   0.   0.   0.   0.   1.   2.   0.   4. 128.   8.  64.],[  1.   0.   1.   0.   0.   0.   3.   0.   3.   8.  32. 128.],[ 1.  0.  0.  0.  0.  1.  4.  0.  3. 16.  0.  8.],[ 1.  1.  1.  1.  1.  1.  2.  0.  2. 64. 64.  8.],[  1.   0.   1.   0.   0.   1.   2.   0.   2.   8. 128.  16.],[  1.   1.   0.   0.   0.   0.   1.   0.   1.  20.   0. 128.],[ 1.  0.  1.  1.  1.  0.  3.  0.  2. 16.  8. 20.],[ 1.  1.  0.  0.  0.  1.  3.  0.  1. 20. 16. 16.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1. 64.  0.  0.],[ 1.  1.  1.  1.  1.  1.  3.  0.  2. 64.  8.  8.],[1. 0. 1. 1. 1. 1. 2. 1. 0. 0. 0. 0.],[ 1.  1.  1.  1.  1.  0.  2.  0.  2. 64. 64.  8.],[ 1.  0.  1.  1.  1.  0.  4.  0.  2. 64. 64.  8.],[ 1.  1.  1.  1.  1.  1.  2.  0.  2. 16. 64.  8.],[ 1.  1.  1.  1.  1.  0.  2.  0.  1. 16.  0.  8.],[1. 1. 1. 1. 1. 0. 2. 1. 0. 0. 0. 0.],[ 1.  1.  1.  1.  1.  0.  2.  0.  2. 16. 16.  8.],[ 1.  1.  1.  1.  1.  0.  2.  0.  1. 64. 64.  8.],[  1.   1.   1.   1.   1.   0.   2.   0.   1. 128.  64.   8.],[  1.   1.   1.   1.   1.   0.   3.   0.   1. 128.  64.   8.],[  1.   1.   1.   1.   1.   0.   3.   0.   1. 128.  64.  16.],[  1.   1.   1.   1.   1.   0.   2.   0.   1. 128.  64.  16.],[ 1.  1.  1.  1.  1.  0.  2.  0.  1. 64. 64. 16.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1. 64. 64. 16.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1. 64. 64. 16.],[  1.   1.   1.   1.   1.   0.   1.   0.   1. 128.  64.  20.],[  1.   1.   1.   1.   1.   0.   3.   0.   1. 128.  64.  20.],[ 1.  1.  1.  1.  1.  0.  2.  0.  1. 64. 64. 20.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2. 64. 64. 20.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1. 16. 64. 20.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2. 64. 64. 64.],[  1.   1.   0.   0.   0.   0.   3.   0.   1.  64. 128.  20.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2. 16. 64. 20.],[  1.   0.   1.   1.   1.   0.   3.   0.   2. 128.  64.   8.],[  1.   0.   1.   1.   1.   0.   3.   0.   1. 128.   0.   0.],[ 1.  1.  1.  1.  1.  1.  2.  0.  4. 64. 64. 20.],[ 1.  1.  1.  1.  1.  0.  4.  0.  4. 64. 64. 20.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4. 64. 64. 20.],[  1.   0.   1.   1.   1.   0.   3.   0.   2. 128.  64.  20.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2. 16. 64. 20.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4. 64. 64. 64.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1. 64.  0. 20.],[ 1.  0.  1.  1.  1.  1.  2.  0.  2. 16.  0. 20.],[  1.   0.   1.   1.   1.   0.   3.   0.   2. 128.  64.  32.],[  1.   0.   1.   1.   1.   0.   3.   0.   2. 128.   8.  32.],[  1.   0.   1.   1.   1.   0.   4.   0.   2. 128.  64.  32.],[ 1.  1.  1.  0.  0.  0.  4.  0.  2. 16. 64. 20.],[  1.   0.   1.   0.   0.   0.   3.   0.   2. 128.  64.  20.]
7104.0,7966.8,6671.6,8265.4,6697.4,5520.0,7756.6,7182.2,11257.6,7273.4,6040.0,6345.6,9323.2,5451.0,6810.0,5906.0,5947.0,9091.8,7311.2,5486.0,5427.2,5479.6,5451.2,5394.2,5300.4,5443.2,5461.4,5537.4,5483.8,5286.6,5397.2,5967.6,5645.2,6063.6,5898.4,6076.4,8529.0,5282.6,5280.8,5271.4,6152.6,5822.0,5445.8,6174.0,8206.8,6137.2,6354.4,6189.4,6100.2,6341.6
50
