1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.000e+00 0.000e+00 4.096e+03 6.000e+00 5.000e+00]","[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 1.000e+00 1.024e+03 4.000e+00 5.000e+00]",[  0.   1.   0.   1.   1.   0.   0.   0.   0.   1.   0. 256.   4.   2.],"[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 1.000e+00 4.096e+03 4.000e+00 0.000e+00]",[ 0.  1.  0.  1.  1.  0.  0.  0.  0.  1.  0. 64.  5.  5.],[ 0.  1.  0.  1.  0.  1.  0.  0.  1.  0.  0. 64.  3.  2.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.024e+03 2.000e+00 4.000e+00]",[  0.   1.   0.   1.   1.   0.   0.   0.   0.   1.   0. 256.   0.   3.],[  0.   1.   0.   1.   0.   1.   1.   0.   0.   0.   0. 256.   0.   2.],[  0.   1.   1.   1.   0.   0.   0.   0.   0.   1.   0. 256.   4.   1.],[  0.   1.   0.   1.   1.   0.   1.   0.   0.   0.   0. 256.   0.   4.],"[0.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.024e+03 5.000e+00 1.000e+00]",[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  1.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  5.],[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  1.  0. 64.  0.  1.],[ 0.  1.  0.  1.  1.  0.  1.  0.  0.  0.  0. 64.  0.  1.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.096e+03 0.000e+00 1.000e+00]",[  1.   1.   0.   1.   0.   0.   1.   0.   0.   0.   0. 256.   0.   1.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.000e+00 0.000e+00 1.024e+03 0.000e+00 1.000e+00]",[ 0.  1.  1.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  1.],[ 0.  1.  1.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  1.],[  0.   1.   1.   1.   0.   0.   1.   0.   0.   0.   0. 256.   0.   1.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  1.  0.],[  0.   1.   1.   1.   0.   0.   1.   0.   0.   0.   0. 256.   0.   1.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  2.  0.],[ 0.  1.  1.  1.  0.  0.  1.  0.  0.  0.  0. 64.  2.  0.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  2.  0.],[  1.   1.   0.   1.   0.   0.   0.   0.   0.   1.   0. 256.   3.   0.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  2.  2.]
403.104,361.76,345.455,233.677,500.296,298.207,259.83,224.055,178.019,226.779,254.262,250.537,126.822,139.437,126.822,125.984,100.892,100.892,195.79,110.421,117.788,131.56,105.778,124.428,100.795,100.795,104.879,100.892,101.789,104.879,126.892,126.927,126.892,172.603,173.847
29
