1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
[0. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1. 1.],[0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1.],[0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0.],[1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1.],[1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1.],[1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1.],[0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.],[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],[0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1.],[0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1.],[0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0.],[0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 1.],[0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0.],[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1.],[1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1.],[1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],[1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0.],[1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],[0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1.],[1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0.],[1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],[1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1.],[1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1.],[1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0.],[1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0.],[0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1.],[0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0.],[0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0.],[0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 0.],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1.],[0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],[0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1.]
69.84070539,15.37982678,70.42796421,34.34435844,124.0587096,115.9486194,169.5683143,169.8946455,28.16733336,101.5510626,35.28771996,30.25297117,28.70591521,46.12442183,16.14179039,45.77036572,60.89537716,14.72435474,14.46524286,16.09870362,12.6534965,14.63717055,13.13523102,12.91762209,32.72349739,15.09442139,13.12761855,32.77179241,14.97808051,12.9914844,12.63101435,66.59010172,1.252182007,1.242431879,1.085947514,1.254145622,1.234343052,1.223899603,1.045641422,1.059271336,1.094136238,1.061303616,1.233462334,51.88865042,1.050372362,1.10283947,32.55631566,1.237248898,1.108624458
49
