1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
[  1.   1.   0.   0.   0.   0.   4.   0.   4.  16. 128.  16.],[ 1.  1.  1.  1.  1.  0.  2.  0.  3. 10. 16. 64.],[ 1.  0.  0.  0.  0.  0.  2.  0.  3.  0. 20. 64.],[ 1.  0.  1.  1.  1.  1.  4.  0.  2. 64. 16.  8.],[ 1.  1.  1.  1.  1.  0.  4.  0.  3.  8. 10.  0.],[ 1.  1.  1.  1.  1.  0.  2.  0.  4. 20. 32.  0.],[ 1.  1.  1.  1.  1.  0.  1.  0.  2. 16. 10. 10.],[ 1.  0.  1.  1.  1.  0.  3.  0.  4. 16. 20. 10.],[ 1.  0.  1.  1.  1.  0.  3.  0.  2.  0. 10.  8.],[ 1.  0.  1.  1.  1.  0.  3.  0.  4.  0.  8. 16.],[ 1.  0.  1.  0.  0.  0.  4.  0.  4.  0.  0. 16.],[ 1.  0.  0.  0.  0.  0.  4.  0.  3.  0.  8. 16.],[ 1.  1.  0.  0.  0.  0.  4.  0.  4.  0.  8. 16.],[1. 1. 0. 0. 0. 0. 4. 0. 4. 0. 8. 8.],[ 1.  1.  0.  0.  0.  0.  4.  0.  4.  8.  8. 16.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4.  0.  8. 16.],[1. 1. 1. 1. 1. 1. 4. 0. 4. 0. 8. 0.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  0. 10.  0.],[1. 1. 1. 1. 1. 1. 4. 0. 3. 0. 8. 0.],[ 1.  1.  1.  1.  1.  1.  2.  0.  3.  0.  8. 16.],[  1.   1.   0.   0.   0.   0.   4.   0.   4.  20. 128.  16.],[1. 1. 1. 1. 1. 1. 4. 0. 3. 0. 8. 0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  3.  0. 10.  0.],[ 1.  1.  1.  1.  1.  1.  4.  0.  3.  0.  8. 16.],[ 1.  1.  0.  0.  0.  0.  4.  0.  4. 20.  8. 16.],[ 1.  1.  0.  0.  0.  1.  2.  0.  4.  0.  8. 16.]
5918.0,8867.2,5569.0,6672.6,13938.0,6918.6,8935.2,7582.2,5822.0,5259.4,8088.2,5660.4,5370.2,5591.2,15018.0,4840.4,5191.8,5837.6,5190.8,4860.6,5813.4,5190.8,5236.0,4846.8,9011.4,5445.6
25
