1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
[1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1.],[0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0.],[1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 1. 0.],[0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1.],[0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1.],[1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1.],[0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0.],[0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1.],[0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1.],[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.],[0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0.],[0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 1.],[0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1.],[0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1.],[0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1. 0.]
60.74334383,3.256318569,58.26492333,116.7974567,51.19780087,28.42861891,33.7754302,51.04597688,102.231571,12.95455003,2.54972744,12.68297124,2.675883293,2.754144192,3.144414902,61.05728316,3.165758371,2.60876298,2.734304428,29.78552127,2.675869703
21
