1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
[  1.   1.   0.   0.   0.   0.   1.   0.   4.  20. 128.   0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  3. 64. 32. 10.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2.  8. 32.  0.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4.  0. 32. 16.],[ 1.  0.  0.  0.  0.  1.  3.  0.  2. 64. 10.  0.],[  1.   1.   1.   1.   1.   1.   4.   0.   2.  20. 128.   0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  1. 10. 32. 10.],[  1.   1.   0.   0.   0.   0.   4.   0.   1.  10.  16. 128.],[ 1.  1.  1.  0.  0.  0.  3.  0.  2.  0. 32. 10.],[ 1.  0.  1.  0.  0.  0.  4.  0.  4. 64.  8.  0.],[ 1.  1.  0.  0.  0.  1.  2.  0.  4.  0. 32. 16.],[  1.   0.   1.   0.   0.   1.   3.   0.   2.   0.  32. 128.],[  1.   0.   0.   0.   0.   1.   4.   0.   2.   0.  32. 128.],[  1.   1.   1.   0.   0.   0.   3.   0.   2.   0.  32. 128.],[  1.   1.   1.   0.   0.   1.   3.   0.   2.   0.  10. 128.],[  1.   1.   1.   0.   0.   0.   3.   0.   2.   0.  16. 128.],[  1.   1.   1.   0.   0.   0.   3.   0.   1.   0.  16. 128.],[  1.   1.   1.   0.   0.   0.   3.   0.   1.   0.  16. 128.],[1. 1. 1. 0. 0. 0. 3. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   0.   3.   0.   1.   0.   0. 128.],[1. 1. 1. 0. 0. 0. 3. 1. 0. 0. 0. 0.],[  1.   1.   1.   0.   0.   0.   4.   0.   1.   0.  10. 128.],[  1.   1.   0.   0.   0.   0.   3.   0.   1.   0.  16. 128.],[1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0.]
6922.0,5717.8,9568.0,4901.2,10187.8,6167.6,7519.0,10422.6,5060.8,8146.0,5371.4,5173.6,6045.6,4707.8,5203.2,4905.0,4880.0,4880.0,9075.6,7883.4,9075.6,5186.8,5291.2,9236.2
22
