1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
[ 1.  0.  0.  0.  0.  0.  4.  0.  4. 20. 20. 20.],[ 1.  0.  1.  0.  0.  0.  4.  0.  4. 16. 20. 16.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 64. 32.],[ 1.  0.  1.  1.  1.  1.  4.  0.  4. 16.  0. 32.],[ 1.  1.  0.  0.  0.  1.  2.  0.  2. 10. 20. 16.],[ 1.  0.  0.  0.  0.  1.  2.  0.  1. 10.  8. 20.],[  1.   1.   0.   0.   0.   0.   2.   0.   1. 128.  64.  64.],[ 1.  0.  1.  0.  0.  1.  2.  0.  1. 20. 10.  0.],[ 1.  0.  0.  0.  0.  0.  4.  0.  3.  8. 32. 16.],[ 1.  0.  1.  1.  1.  1.  2.  0.  1. 20. 20.  8.],[1. 1. 1. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1.  0. 64. 32.],[ 1.  1.  0.  0.  0.  0.  3.  0.  1.  0. 64. 32.],[ 1.  1.  0.  0.  0.  0.  3.  0.  1.  0.  0. 32.],[ 1.  0.  0.  0.  0.  1.  3.  0.  1. 10. 64. 32.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1.  0. 64. 20.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2.  0. 64. 20.],[ 1.  1.  1.  1.  1.  0.  2.  0.  1.  0. 64. 20.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1.  0. 64.  0.],[ 1.  0.  1.  1.  1.  0.  2.  0.  1.  0. 64. 32.],[ 1.  0.  1.  1.  1.  0.  2.  0.  1.  0. 64.  0.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1.  0. 64.  0.],[ 1.  1.  0.  0.  0.  1.  3.  0.  1.  0. 64.  0.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 64.  0.],[ 1.  0.  1.  1.  1.  0.  1.  0.  1.  0. 64. 16.],[ 1.  1.  1.  0.  0.  0.  1.  0.  2.  0. 64. 10.],[ 1.  1.  1.  0.  0.  0.  2.  0.  1. 10. 64.  0.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 64. 10.],[ 1.  1.  0.  0.  0.  1.  2.  0.  1.  0. 16. 32.]
7698.6,7993.4,5213.6,7257.0,8322.4,14194.8,6056.6,11134.8,9302.2,8296.6,9102.8,5191.2,5364.6,7925.8,8572.6,5248.4,5272.6,5253.0,5078.8,5513.2,5403.2,5102.4,5257.8,5105.0,5727.6,5585.6,7622.6,5470.8,5362.2
29
