1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
[ 1.  1.  0.  0.  0.  1.  2.  0.  4. 16.  0. 32.],[  1.   0.   0.   0.   0.   0.   2.   0.   4.  20.  10. 128.],[ 1.  1.  1.  0.  0.  0.  1.  0.  2. 16. 10. 10.],[1. 1. 0. 0. 0. 1. 2. 0. 3. 0. 8. 0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  3. 10. 20. 16.],[  1.   0.   1.   1.   1.   0.   3.   0.   1.  32.  64. 128.],[ 1.  1.  1.  1.  1.  1.  4.  0.  3. 10. 20.  0.],[  1.   0.   0.   0.   0.   0.   2.   0.   4. 128.  64. 128.],[ 1.  1.  0.  0.  0.  1.  2.  0.  4. 20. 20. 64.],[  1.   1.   1.   0.   0.   1.   3.   0.   2.   8.  10. 128.],[1. 1. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 1. 2. 0. 3. 0. 8. 0.],[1. 1. 0. 0. 0. 1. 2. 0. 1. 0. 8. 0.],[ 1.  1.  0.  0.  0.  1.  2.  0.  1.  0. 10.  0.],[ 1.  1.  0.  0.  0.  1.  2.  0.  1.  0.  8. 16.],[  1.   1.   0.   0.   0.   1.   2.   0.   1.   0.   8. 128.],[ 1.  1.  0.  0.  0.  1.  3.  0.  1.  0.  8. 10.],[  1.   1.   0.   0.   0.   1.   3.   0.   1.   0.   8. 128.],[  1.   0.   0.   0.   0.   1.   3.   0.   2.   0.   8. 128.],[  1.   1.   1.   0.   0.   1.   2.   0.   1.   0.   8. 128.],[  1.   1.   1.   0.   0.   1.   2.   0.   1.   0.   8. 128.],[  1.   1.   1.   0.   0.   1.   3.   0.   1.   0.  10. 128.],[  1.   1.   1.   0.   0.   1.   4.   0.   2.   0.  10. 128.],[  1.   1.   0.   0.   0.   0.   4.   0.   2.   0.   0. 128.],[  1.   1.   1.   0.   0.   1.   3.   0.   2.   0.  10. 128.],[1. 1. 1. 0. 0. 1. 3. 1. 0. 0. 0. 0.],[ 1.  1.  1.  1.  1.  1.  2.  0.  3.  0. 10.  8.],[  1.   1.   1.   1.   1.   1.   3.   0.   3.   0.  10. 128.],[  1.   1.   1.   1.   1.   1.   4.   0.   3.   0.  10. 128.],[ 1.  1.  1.  0.  0.  1.  4.  0.  2.  0. 10.  0.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 16. 16.],[ 1.  1.  1.  1.  1.  1.  2.  0.  4.  0. 16. 16.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 16. 10.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 16. 16.],[ 1.  1.  1.  0.  0.  0.  2.  0.  4.  0. 20. 16.],[ 1.  0.  1.  0.  0.  1.  4.  0.  4.  0. 16. 16.],[  1.   0.   0.   0.   0.   1.   2.   0.   2. 128.  64. 128.],[  1.   0.   0.   0.   0.   1.   4.   0.   4. 128.  64. 128.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2.  0. 20.  0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2.  0. 20.  0.],[  1.   0.   0.   0.   0.   1.   4.   0.   4. 128.   8. 128.],[ 1.  1.  1.  1.  1.  0.  4.  0.  1.  0. 20.  0.],[  1.   1.   1.   1.   1.   0.   4.   0.   1.   0.  20. 128.],[  1.   0.   1.   0.   0.   0.   4.   0.   4. 128.  64. 128.],[  1.   0.   1.   0.   0.   0.   3.   0.   1. 128.  64. 128.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2.  0. 64.  0.],[  1.   1.   1.   1.   1.   0.   4.   0.   4. 128.  64.   0.],[  1.   1.   1.   1.   1.   0.   2.   0.   2. 128.  64.   0.],[  1.   1.   1.   1.   1.   1.   3.   0.   1. 128.  10.  32.],[  1.   1.   1.   1.   1.   0.   3.   0.   1.   0.  20. 128.]
7682.0,9762.4,8952.2,5671.6,8413.6,7960.4,9938.2,6099.0,7282.2,13166.8,9113.0,5671.6,5500.8,5771.6,5394.6,5506.2,5464.6,5500.4,6236.2,5216.4,5216.4,5199.8,5170.2,7940.6,5203.2,9085.0,5159.8,5221.6,5230.6,5153.0,4849.0,4896.8,4931.6,4873.8,4948.6,5153.8,6599.0,5975.2,4789.0,4781.4,6996.0,4783.4,4804.8,5917.4,6431.6,5071.2,5318.4,5294.4,5565.2,4808.2
48
