1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
[1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1.],[1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1.],[0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1.],[1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0.],[0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 0.],[0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0.],[1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0.],[1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],[0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1.],[1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0.],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0.],[1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0.],[1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0.],[1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0.],[1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0.],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1.],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1.],[0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1.],[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1.],[1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1.],[1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1.],[1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1.],[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1.],[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.],[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1.],[0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1.],[1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1.],[0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1.],[1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1.],[0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1.]
124.047812,46.39402723,51.26955366,37.60094953,59.01564384,32.19431138,28.22297096,32.92517686,66.23712397,50.92966986,28.2758882,46.52193999,33.58075547,45.59280849,53.7907474,45.48630524,45.81243396,28.41864562,53.04175162,28.06929874,12.72783566,12.87596107,12.94304466,14.76503253,14.24100542,14.1307621,14.36515856,30.01395774,14.75290632,35.27439523,14.65996027
31
