1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
[  1.   0.   1.   1.   1.   1.   3.   0.   2.  64.  64. 128.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4. 32.  8. 20.],[ 1.  0.  1.  0.  0.  1.  2.  0.  2. 32. 32.  0.],[ 1.  1.  0.  0.  0.  0.  2.  0.  4.  8. 10. 10.],[ 1.  0.  1.  0.  0.  1.  4.  0.  1. 10. 20. 16.],[ 1.  1.  1.  0.  0.  1.  3.  0.  1. 16.  8. 64.],[  1.   1.   0.   0.   0.   1.   3.   0.   2.  10. 128.   0.],[ 1.  0.  0.  0.  0.  1.  4.  0.  3.  0. 16.  0.],[ 1.  1.  1.  1.  1.  1.  4.  0.  1. 32. 16. 10.],[ 1.  0.  1.  1.  1.  0.  1.  0.  1.  0. 64.  0.],[1. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0.],[ 1.  0.  1.  1.  1.  1.  4.  0.  4.  0. 16.  0.],[ 1.  0.  0.  0.  0.  0.  4.  0.  4.  0. 16.  0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  4.  0. 16.  0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  4.  0. 10.  0.],[ 1.  1.  0.  0.  0.  0.  4.  0.  4.  0. 10.  0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 16.  0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 16.  0.],[ 1.  0.  1.  0.  0.  0.  3.  0.  4.  0. 16.  0.],[ 1.  1.  1.  0.  0.  0.  3.  0.  4.  0. 16.  8.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 16. 10.],[ 1.  1.  1.  0.  0.  0.  2.  0.  4.  0. 16.  0.],[ 1.  1.  1.  0.  0.  0.  2.  0.  4.  0. 16. 10.],[ 1.  1.  1.  0.  0.  0.  2.  0.  4.  0. 10. 10.],[ 1.  1.  1.  0.  0.  0.  2.  0.  3.  0. 10.  8.],[ 1.  1.  1.  1.  1.  0.  1.  0.  4.  0. 20.  0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1.  0. 20.  0.],[ 1.  1.  1.  0.  0.  1.  4.  0.  1.  0. 64.  0.],[  1.   1.   1.   0.   0.   0.   1.   0.   1.   0. 128.   0.],[ 1.  1.  1.  1.  1.  0.  1.  0.  2.  0. 64. 64.],[ 1.  1.  1.  1.  1.  1.  3.  0.  1.  0.  0. 16.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0.  8. 64.],[ 1.  1.  1.  0.  0.  0.  4.  0.  3.  0. 20. 16.],[ 1.  1.  1.  0.  0.  0.  1.  0.  2.  0. 10.  0.],[ 1.  1.  1.  1.  1.  1.  4.  0.  1.  0. 64.  8.],[ 1.  0.  0.  0.  0.  0.  1.  0.  2.  0. 20. 20.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1.  0. 32.  0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 32.  0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 32.  0.],[1. 1. 1. 0. 0. 0. 4. 1. 0. 0. 0. 0.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0. 32.  8.],[ 1.  1.  1.  1.  1.  0.  1.  0.  4.  0. 32.  0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  4.  0. 64.  0.],[ 1.  1.  1.  0.  0.  0.  1.  0.  4.  0. 64. 32.],[ 1.  1.  1.  0.  0.  0.  1.  0.  4.  0. 64.  0.],[ 1.  0.  1.  1.  1.  0.  4.  0.  4.  0. 32.  0.],[ 1.  0.  1.  0.  0.  0.  4.  0.  4.  0. 64.  0.],[ 1.  0.  1.  0.  0.  0.  1.  0.  4.  0. 32.  0.]
6389.8,7936.2,7414.4,13009.0,9612.4,9769.2,8499.6,5542.0,6448.6,5480.4,9403.2,5229.6,5652.8,4909.6,5240.6,5841.4,4867.2,4867.2,5290.6,5043.8,4931.6,4931.4,4984.6,5075.8,5173.2,4950.2,4759.0,5041.8,7120.0,5278.6,7864.4,5194.8,4918.6,5334.8,5508.4,6075.6,4658.8,4651.6,4651.6,9058.0,5091.2,4809.0,4908.0,5236.8,5107.0,5031.6,5239.4,5062.8
46
