1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  5.  5.],"[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.096e+03 3.000e+00 0.000e+00]","[0.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.024e+03 0.000e+00 4.000e+00]",[  0.   1.   0.   1.   0.   1.   0.   0.   1.   0.   0. 256.   4.   1.],[ 0.  1.  0.  1.  0.  1.  0.  0.  1.  0.  0. 64.  1.  4.],"[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.000e+00 1.000e+00 1.024e+03 6.000e+00 0.000e+00]",[ 0.  1.  0.  1.  1.  0.  1.  0.  0.  0.  0. 64.  2.  0.],"[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.096e+03 3.000e+00 4.000e+00]","[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 4.096e+03 3.000e+00 5.000e+00]","[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.000e+00 1.000e+00 0.000e+00 0.000e+00 1.024e+03 1.000e+00 0.000e+00]",[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  2.  0.],[  1.   1.   0.   1.   0.   0.   1.   0.   0.   0.   0. 256.   2.   0.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  2.  0.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  2.  0.],[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  2.  0.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.000e+00 0.000e+00 4.096e+03 2.000e+00 1.000e+00]",[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  3.  0.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.024e+03 2.000e+00 0.000e+00]",[  1.   1.   0.   1.   0.   0.   0.   0.   1.   0.   0. 256.   2.   0.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  2.  0.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],"[0.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.024e+03 0.000e+00 1.000e+00]",[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],"[0.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.024e+03 0.000e+00 1.000e+00]",[  1.   1.   0.   1.   0.   0.   0.   0.   0.   1.   0. 256.   0.   1.],[ 0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0. 64.  1.  1.],[  1.   1.   0.   1.   0.   0.   1.   0.   0.   0.   0. 256.   0.   1.],[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  1.  0. 64.  0.  1.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 4.096e+03 1.000e+00 0.000e+00]","[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.024e+03 0.000e+00 1.000e+00]",[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  5.],[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  1.],[ 0.  1.  1.  1.  0.  0.  1.  0.  0.  0.  0. 64.  0.  1.],[ 0.  1.  1.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  3.]
321.552,251.528,274.37,297.812,297.958,272.467,160.207,467.756,289.95,419.864,126.892,133.363,125.633,125.633,127.051,191.202,151.52,143.214,126.878,125.633,100.444,100.444,103.49,100.444,103.49,116.207,117.683,125.993,105.778,100.315,100.444,110.421,120.151,103.959,100.315,201.285,100.315,100.315,100.795,152.67
31
