1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
[ 1.  0.  1.  1.  1.  0.  2.  0.  2. 20. 64. 16.],[ 1.  0.  0.  0.  0.  0.  4.  0.  4. 32. 20. 16.],[  1.   1.   1.   0.   0.   1.   3.   0.   1.  64. 128. 128.],[  1.   1.   0.   0.   0.   1.   2.   0.   3. 128.   0.   0.],[  1.   1.   1.   0.   0.   1.   3.   0.   1. 128.  64.  16.],[ 1.  1.  1.  1.  1.  1.  2.  0.  3. 10. 10. 10.],[ 1.  1.  1.  1.  1.  0.  3.  0.  3.  8. 20. 20.],[ 1.  1.  0.  0.  0.  0.  4.  0.  4. 16. 20. 20.],[ 1.  0.  0.  0.  0.  0.  1.  0.  3.  8. 32. 16.],[ 1.  1.  1.  0.  0.  0.  1.  0.  3. 16. 10. 10.],[  1.   1.   1.   1.   1.   1.   3.   0.   1. 128. 128. 128.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128. 128.   0.],[  1.   1.   1.   0.   0.   1.   3.   0.   1.  16. 128. 128.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  16.   8.],[1. 0. 1. 1. 1. 1. 2. 1. 0. 0. 0. 0.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  16. 128.],[  1.   1.   1.   1.   1.   1.   2.   0.   1. 128.  16.   0.],[  1.   0.   0.   0.   0.   1.   2.   0.   1. 128. 128.   8.],[  1.   1.   1.   1.   1.   1.   4.   0.   4. 128.  64.  10.],[  1.   1.   1.   1.   1.   1.   3.   0.   3. 128.  64.   8.],[  1.   1.   1.   1.   1.   1.   4.   0.   3. 128.  16.  32.],[  1.   1.   1.   1.   1.   1.   4.   0.   3. 128.  16.  10.],[  1.   1.   1.   1.   1.   0.   1.   0.   3. 128.  16.  32.],[  1.   1.   1.   1.   1.   1.   2.   0.   1.  64. 128.  10.],[  1.   1.   1.   1.   1.   0.   4.   0.   3. 128.  16.   0.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  16.  10.],[  1.   1.   1.   0.   0.   0.   1.   0.   3. 128.  16.  10.],[1. 1. 1. 1. 1. 1. 4. 1. 0. 0. 0. 0.],[  1.   1.   1.   1.   1.   0.   2.   0.   4. 128.  16.   8.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  16.  16.],[  1.   1.   1.   1.   1.   1.   4.   0.   3. 128. 128.   8.],[  1.   1.   0.   0.   0.   1.   2.   0.   1.  64. 128.   0.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  16.  20.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  20.  16.],[  1.   1.   1.   0.   0.   1.   3.   0.   3.  64. 128.   8.],[  1.   1.   1.   0.   0.   1.   4.   0.   1.  64. 128.  10.],[  1.   1.   1.   1.   1.   1.   4.   0.   3.  64. 128.  10.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  20.  10.],[  1.   1.   0.   0.   0.   0.   4.   0.   3. 128.  20.  10.],[  1.   1.   1.   0.   0.   1.   4.   0.   3.  64. 128.  10.],[  1.   1.   1.   1.   1.   1.   4.   0.   4. 128.  10.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   4. 128.  10.  16.],[  1.   1.   1.   0.   0.   1.   4.   0.   3. 128.  10.  16.],[  1.   1.   1.   1.   1.   1.   3.   0.   4. 128.  10.  10.]
7251.2,7174.8,5693.2,8502.8,5550.8,11292.2,9124.4,7379.8,8490.4,8943.2,5487.8,5397.6,6824.4,5450.6,9323.2,5765.2,5776.8,7419.8,5378.8,5477.8,5361.2,5308.4,5455.4,5647.2,5768.6,5302.4,5509.0,9096.2,5357.6,5240.4,5830.8,6157.8,5261.4,5199.0,5706.4,5491.8,5554.4,5254.6,5916.2,5465.2,5431.8,5414.4,5412.2,5526.6
44
