1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
[ 1.  1.  1.  1.  1.  0.  3.  0.  2. 16. 20. 10.],[ 1.  0.  1.  0.  0.  0.  2.  0.  1.  0. 10. 64.],[  1.   1.   0.   0.   0.   0.   3.   0.   1.  64. 128.   0.],[ 1.  1.  1.  1.  1.  0.  1.  0.  2. 64. 20. 32.],[ 1.  1.  1.  1.  1.  1.  2.  0.  2. 20.  0. 64.],[ 1.  1.  0.  0.  0.  1.  4.  0.  2.  0. 16.  8.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1. 16. 16. 20.],[ 1.  0.  0.  0.  0.  0.  2.  0.  3.  8.  0. 10.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4. 32.  8. 64.],[ 1.  1.  1.  1.  1.  0.  1.  0.  1. 64.  0.  0.],[1. 1. 0. 0. 0. 1. 4. 1. 0. 0. 0. 0.],[ 1.  1.  0.  0.  0.  1.  4.  0.  2.  0. 20.  8.],[ 1.  1.  0.  0.  0.  1.  4.  0.  2.  0. 20.  8.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  0. 20.  8.],[ 1.  0.  0.  0.  0.  1.  4.  0.  2.  0. 10.  8.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  0. 16.  8.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  0. 16.  8.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  8. 16.  8.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 20.  8.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4.  0. 16.  8.],[ 1.  0.  1.  0.  0.  1.  2.  0.  4. 64. 20.  8.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 16.  8.],[ 1.  1.  1.  0.  0.  1.  4.  0.  1.  0. 16. 32.],[1. 1. 1. 1. 1. 1. 4. 1. 0. 0. 0. 0.],[ 1.  1.  1.  1.  1.  1.  4.  0.  1.  0. 16. 32.],[ 1.  1.  1.  0.  0.  1.  4.  0.  1.  0. 20. 32.],[ 1.  1.  1.  0.  0.  1.  4.  0.  1.  0. 10. 32.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 10. 32.],[ 1.  1.  1.  0.  0.  0.  4.  0.  1.  0. 32. 64.],[ 1.  1.  1.  1.  1.  0.  4.  0.  1.  0. 32. 32.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4.  0. 10. 32.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0.  0. 64.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0.  8. 20.],[ 1.  1.  1.  0.  0.  0.  4.  0.  4.  0.  8. 64.],[ 1.  1.  1.  1.  1.  0.  1.  0.  4.  0.  8. 16.],[ 1.  1.  1.  1.  1.  0.  4.  0.  2.  0. 32. 64.],[ 1.  1.  1.  0.  0.  1.  4.  0.  1.  0.  8. 20.],[ 1.  1.  1.  1.  1.  1.  2.  0.  1.  8. 32. 32.],[ 1.  1.  1.  0.  0.  1.  2.  0.  1.  0. 32. 64.]
7085.0,5996.0,5971.8,5693.6,6439.4,5460.2,7552.2,6956.6,7899.2,6161.8,9105.2,5456.8,5456.8,5414.6,7013.2,5422.8,5422.8,10427.0,5017.8,5026.0,6545.6,5010.2,4920.0,9096.2,4935.0,4855.6,5093.2,5084.2,4728.0,4803.8,5135.6,7787.2,4812.4,5194.8,4979.2,4735.4,4819.0,7715.4,4781.6
37
