1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
[0. 1. 1. 0. 0. 0. 1. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 1.],[0. 0. 1. 0. 0. 1. 1. 1. 1. 0.],[1. 0. 1. 0. 1. 1. 0. 1. 1. 1.],[1. 0. 1. 1. 1. 0. 1. 1. 0. 1.],[0. 0. 1. 0. 1. 0. 0. 0. 1. 1.],[0. 1. 0. 1. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 1. 0. 0. 0. 1. 1. 1.],[1. 1. 1. 0. 0. 0. 0. 0. 0. 1.],[1. 1. 0. 1. 1. 0. 1. 0. 0. 1.],[0. 1. 1. 0. 0. 1. 0. 1. 1. 0.],[1. 0. 1. 0. 0. 1. 1. 0. 1. 0.],[0. 0. 1. 1. 1. 1. 1. 1. 1. 0.],[0. 0. 0. 1. 1. 1. 1. 1. 1. 0.],[1. 0. 0. 1. 1. 1. 1. 1. 0. 0.],[0. 1. 0. 1. 1. 1. 1. 1. 1. 0.],[0. 0. 0. 1. 1. 0. 1. 1. 1. 0.],[0. 0. 0. 1. 1. 0. 1. 0. 1. 0.],[0. 0. 0. 1. 1. 0. 0. 0. 1. 0.],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0.],[0. 1. 0. 1. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],[0. 0. 0. 1. 1. 1. 0. 0. 1. 0.],[0. 0. 1. 1. 0. 0. 0. 0. 1. 0.],[0. 0. 0. 1. 0. 1. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],[0. 0. 0. 1. 1. 0. 0. 1. 0. 0.]
229.2766667,232.6166667,215.8833333,254.2666667,249.0466667,256.06,235.91,233.55,253.15,252.82,229.6433333,233.4333333,218.6233333,207.6466667,227.12,232.96,206.2266667,201.9733333,200.9233333,222.2366667,199.6833333,208.0466667,201.7033333,217.0933333,210.34,207.89,206.1166667,208.9866667,203.56,202.68,203.9333333
31
