1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
[ 1.  1.  0.  0.  0.  1.  4.  0.  4. 64. 32. 32.],[ 1.  1.  1.  1.  1.  1.  3.  0.  3. 64. 32. 32.],[ 1.  0.  1.  1.  1.  1.  4.  0.  1.  0. 16.  8.],[ 1.  0.  1.  1.  1.  0.  3.  0.  2. 64. 20. 10.],[ 1.  0.  1.  1.  1.  1.  2.  0.  3. 10. 64. 16.],[  1.   0.   1.   0.   0.   0.   2.   0.   3.  64.   0. 128.],[ 1.  1.  0.  0.  0.  0.  4.  0.  3. 16.  8.  8.],[ 1.  1.  1.  1.  1.  1.  4.  0.  4.  8.  0. 10.],[  1.   0.   1.   0.   0.   0.   1.   0.   3.  20. 128.   0.],[ 1.  0.  0.  0.  0.  0.  2.  0.  4. 16. 10.  0.],[1. 0. 1. 1. 1. 1. 4. 1. 0. 0. 0. 0.],[ 1.  0.  1.  0.  0.  1.  4.  0.  1.  0. 32.  8.],[ 1.  0.  1.  1.  1.  1.  4.  0.  1. 64. 32. 32.],[ 1.  1.  1.  1.  1.  1.  4.  0.  1.  0. 20.  8.],[1. 1. 1. 1. 1. 1. 4. 1. 0. 0. 0. 0.],[ 1.  1.  1.  1.  1.  1.  4.  0.  1.  0. 20.  8.],[ 1.  1.  0.  0.  0.  1.  4.  0.  1.  0. 20.  8.],[ 1.  1.  1.  1.  1.  1.  3.  0.  1.  0. 20.  0.],[ 1.  1.  1.  1.  1.  0.  4.  0.  1.  0. 20.  0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1.  0. 20.  0.],[ 1.  1.  0.  0.  0.  0.  3.  0.  1.  0. 20.  0.],[ 1.  1.  1.  0.  0.  0.  3.  0.  4.  0. 20.  0.],[ 1.  1.  0.  0.  0.  0.  1.  0.  4.  0. 20.  0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  1.  8. 20.  0.],[ 1.  1.  1.  0.  0.  0.  2.  0.  4.  0. 10.  0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  2.  0. 10.  0.],[ 1.  0.  1.  1.  1.  0.  3.  0.  4.  0. 20.  0.],[ 1.  0.  1.  0.  0.  0.  3.  0.  1.  0. 10.  0.]
6087.4,5507.2,5507.6,6779.8,6651.8,6944.6,10254.2,7244.6,6940.6,10702.2,9320.4,5649.0,6391.4,5069.4,9096.2,5069.4,5459.4,4777.6,4783.4,4779.0,5185.0,4801.4,5337.2,10690.2,5231.6,5185.8,5231.6,6057.0
27
