1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
[0. 1. 1. 0. 1. 1. 0. 1. 0. 1.],[0. 0. 0. 1. 0. 0. 1. 0. 1. 1.],[1. 1. 0. 0. 1. 1. 0. 0. 0. 1.],[1. 1. 0. 1. 1. 1. 0. 1. 1. 0.],[0. 1. 1. 1. 0. 1. 1. 0. 0. 0.],[1. 0. 0. 1. 1. 0. 1. 1. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 1. 1. 1.],[0. 0. 0. 1. 0. 1. 1. 1. 0. 1.],[0. 0. 1. 1. 0. 1. 1. 1. 0. 1.],[0. 0. 1. 1. 0. 0. 0. 0. 1. 1.],[0. 0. 0. 0. 0. 1. 1. 0. 1. 1.],[0. 0. 0. 1. 0. 1. 1. 0. 1. 1.],[0. 1. 0. 0. 0. 1. 1. 0. 1. 1.],[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],[0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 1. 1. 0. 0. 1.],[0. 0. 0. 0. 0. 1. 1. 1. 0. 1.],[0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],[0. 0. 1. 0. 0. 0. 1. 0. 0. 1.],[0. 0. 1. 1. 0. 0. 1. 0. 1. 0.],[0. 0. 1. 0. 0. 0. 1. 1. 1. 0.],[0. 0. 1. 0. 0. 1. 1. 1. 1. 0.],[0. 0. 1. 1. 0. 1. 1. 1. 1. 0.],[0. 0. 1. 1. 0. 1. 1. 0. 0. 0.],[1. 0. 1. 1. 0. 1. 1. 1. 0. 0.],[0. 0. 1. 1. 0. 0. 1. 1. 1. 0.],[0. 0. 1. 1. 1. 0. 1. 0. 1. 0.],[0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],[0. 0. 1. 1. 1. 1. 1. 1. 0. 0.],[0. 0. 1. 0. 1. 0. 1. 1. 0. 0.],[1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],[0. 0. 1. 0. 1. 1. 1. 1. 0. 0.],[0. 0. 0. 1. 0. 1. 1. 0. 0. 1.],[0. 0. 1. 1. 0. 0. 1. 1. 0. 0.],[0. 0. 1. 1. 0. 1. 1. 1. 0. 0.],[0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],[0. 1. 0. 0. 1. 0. 1. 1. 1. 0.],[0. 0. 0. 1. 1. 0. 1. 1. 0. 0.],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 1. 1. 0. 1. 1. 0.],[0. 0. 0. 0. 1. 1. 0. 0. 0. 1.],[0. 0. 0. 0. 1. 1. 1. 1. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
248.71,217.1866667,255.0133333,246.16,227.53,232.6366667,232.18,218.0366667,262.4833333,255.4366667,215.2933333,215.9566667,232.65,216.6366667,218.4033333,215.13,217.55,213.1833333,246.9566667,209.84,210.2366667,215.8833333,215.74,211.59,237.5233333,216.9133333,211.48,208.37,217.2933333,210.9966667,240.05,215.47,219.8266667,214.1533333,214.3133333,199.9533333,223.07,204.2933333,208.0466667,206.9,205.2066667,203.9766667,217.68,204.73,201.1533333,207.2333333
46
