1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
[  1.   1.   1.   0.   0.   1.   4.   0.   1.   8. 128.  32.],[ 1.  0.  1.  1.  1.  1.  4.  0.  2. 10. 16. 20.],[  1.   0.   1.   1.   1.   0.   3.   0.   4.  64.   8. 128.],[ 1.  1.  1.  0.  0.  0.  1.  0.  3. 20. 32.  8.],[ 1.  0.  1.  0.  0.  0.  4.  0.  3. 32.  0.  0.],[  1.   0.   1.   0.   0.   1.   4.   0.   1.  16.   0. 128.],[ 1.  0.  0.  0.  0.  0.  1.  0.  3.  0.  8. 20.],[  1.   1.   0.   0.   0.   1.   3.   0.   1.  64.  10. 128.],[  1.   1.   0.   0.   0.   0.   2.   0.   1. 128.  20.   8.],[  1.   0.   1.   0.   0.   1.   3.   0.   1. 128.   8.  64.],[ 1.  0.  0.  0.  0.  1.  2.  0.  3.  0. 16. 16.],[1. 0. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[ 1.  1.  0.  0.  0.  1.  2.  0.  3.  0. 16. 16.],[ 1.  1.  0.  0.  0.  1.  2.  0.  4.  0. 16. 16.],[ 1.  0.  0.  0.  0.  1.  2.  0.  4.  0. 16. 16.],[ 1.  1.  0.  0.  0.  1.  3.  0.  3.  0. 16. 20.],[1. 1. 0. 0. 0. 1. 3. 1. 0. 0. 0. 0.],[ 1.  1.  0.  0.  0.  0.  3.  0.  3.  0. 16. 20.],[ 1.  1.  0.  0.  0.  1.  4.  0.  3.  0. 16. 20.],[1. 1. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0.],[ 1.  1.  0.  0.  0.  1.  2.  0.  4.  0. 16. 16.],[ 1.  1.  0.  0.  0.  1.  3.  0.  4.  0. 16. 16.],[ 1.  1.  0.  0.  0.  0.  3.  0.  4.  0. 16. 16.],[ 1.  1.  0.  0.  0.  0.  4.  0.  4.  0. 16. 20.],[ 1.  1.  0.  0.  0.  1.  3.  0.  4.  0. 16. 20.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4. 10. 16. 20.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  0. 16. 16.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  8. 16.  0.],[ 1.  1.  0.  0.  0.  1.  4.  0.  4.  0. 16.  8.],[ 1.  1.  0.  0.  0.  1.  3.  0.  4.  0. 16.  0.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 20.  0.],[  1.   1.   1.   0.   0.   1.   4.   0.   4.   0. 128.   0.],[ 1.  1.  1.  0.  0.  1.  2.  0.  4.  0. 20.  0.],[ 1.  0.  1.  0.  0.  1.  3.  0.  4.  0. 20. 20.],[ 1.  0.  1.  0.  0.  1.  4.  0.  4.  0. 20.  0.],[ 1.  1.  1.  0.  0.  1.  2.  0.  4.  0. 20. 20.],[ 1.  1.  1.  0.  0.  1.  2.  0.  4.  0. 20.  0.],[ 1.  1.  1.  1.  1.  0.  3.  0.  4.  0. 20.  0.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 20.  0.],[ 1.  1.  1.  1.  1.  0.  1.  0.  4.  0. 20.  0.],[ 1.  1.  1.  0.  0.  1.  4.  0.  4.  0. 20. 10.]
6406.6,10201.6,7607.0,6333.4,6991.6,7519.4,5647.6,7453.4,5948.8,6710.2,5610.2,9350.0,5384.2,5393.6,5697.8,5334.4,9108.0,5354.8,5358.6,9113.0,5393.6,5317.6,5344.2,5330.4,5336.6,9689.6,5283.4,11048.4,5422.8,5325.8,4773.8,6771.0,4816.4,5217.2,5101.6,4938.8,4816.4,4799.8,4773.8,4950.2,4930.2
38
