1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
[ 0.  1.  1.  1.  0.  0.  1.  0.  0.  0.  0. 64.  5.  1.],[  0.   1.   0.   1.   0.   0.   0.   0.   0.   1.   1. 256.   2.   5.],[ 0.  1.  0.  1.  0.  0.  0.  0.  0.  1.  1. 64.  0.  2.],"[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 4.096e+03 6.000e+00 3.000e+00]",[ 0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0. 64.  6.  2.],"[0.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 0.000e+00 1.000e+00 1.000e+00 1.024e+03 1.000e+00 1.000e+00]",[  0.   1.   0.   1.   1.   0.   1.   0.   0.   0.   0. 256.   2.   3.],[ 0.  1.  0.  1.  1.  0.  1.  0.  0.  0.  0. 64.  3.  0.],"[0.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.096e+03 3.000e+00 0.000e+00]",[  0.   1.   1.   1.   0.   0.   0.   0.   1.   0.   0. 256.   1.   5.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  2.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 4.096e+03 0.000e+00 2.000e+00]","[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.024e+03 5.000e+00 2.000e+00]",[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  2.],[  1.   1.   0.   1.   0.   0.   1.   0.   0.   0.   0. 256.   0.   3.],"[1.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00 1.000e+00 0.000e+00 0.000e+00 4.096e+03 0.000e+00 2.000e+00]",[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  3.],[ 0.  1.  0.  1.  1.  0.  1.  0.  0.  0.  0. 64.  0.  2.],[ 1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0. 64.  0.  2.]
225.245,300.963,148.221,507.552,407.302,168.231,293.637,201.456,185.863,227.599,125.984,144.607,246.356,125.984,125.984,125.984,160.51,144.607,149.282,160.125,125.984
16
