1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
[ 0  1  1  0  0  0  0  1  1 90  0  0  0  1  0  1  0  0],[ 1  0  0  1  1  1  1  0  0 90  0  0  1  1  1  0  1  1],[ 1  0  0  1  1  0  1  0  0 90  1  1  1  0  1  0  1  0],[ 1  0  0  1  1  0  1  0  1 10  1  1  1  0  1  0  0  0],[ 1  0  0  1  1  1  1  0  0 10  0  0  0  1  0  0  1  1],[ 0  0  1  1  0  1  0  0  1 10  0  0  1  1  1  1  0  1],[ 1  0  1  1  0  0  1  0  0 10  1  1  1  0  1  0  1  0],[ 0  1  1  0  0  0  0  1  1 90  0  0  1  1  1  1  0  0],[ 1  1  1  0  0  1  1  1  0 10  1  1  0  0  0  0  1  1],[ 1  1  1  0  0  1  1  1  0 10  0  0  1  1  1  0  1  1],[ 0  1  0  1  0  0  1  0  0  0  0  0  0  1  0  0  1 10],[ 0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0 90],[ 0  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0 90],[ 0  1  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0 90],[ 0  1  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0 10],[ 0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0 90],[ 0  1  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0 10],[ 0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0 10],[ 0  1  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0 90],[ 0  1  0  1  0  0  1  0  0  0  0  0  0  1  0  1  0 90],[ 0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0 90],[ 0  0  0  0  0  0  0  0  0  1  1  1  0  0  1  0  0 90],[ 0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1 90],[ 1  0  0  0  1  0  0  0  0  1  0  1  0  0  1  0  0 10],[ 0  0  0  0  1  0  1  0  0  1  0  1  0  0  0  0  0 10],[ 1  1  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0 10],[ 0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0 10],[ 0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0 10],[ 0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0 10],[ 0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0 90],[ 1  1  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0 90],[ 0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0 90],[ 0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  1 10],[ 0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1 90],[ 0  0  0  0  0  0  0  1  1  0  0  1  1  0  0  1  0 90],[ 0  0  0  0  1  0  1  0  1  1  0  1  1  0  0  0  0 90],[ 0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1 90],[ 0  0  0  0  1  0  1  0  1  0  0  1  1  0  0  1  0 90],[ 0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0 90],[ 0  0  0  0  0  0  0  1  1  0  0  1  1  0  0  0  1 90],[ 0  0  0  0  1  0  1  0  1  0  0  1  1  0  0  0  1 90],[ 0  0  0  0  1  0  1  0  0  1  0  1  1  0  0  0  0 90],[ 0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0 90],[ 0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0 90],[ 0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  1 90],[ 0  0  0  0  0  0  1  1  0  0  0  1  1  0  0  0  1 90],[ 0  0  0  0  1  0  1  0  1  1  0  1  0  0  0  0  0 90],[ 0  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  0 90],[ 0  0  0  0  1  0  1  0  0  0  0  1  1  0  0  0  1 90],[ 0  1  0  0  1  0  1  0  0  1  0  0  1  0  0  0  0 90],[ 0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1 90],[ 0  0  0  0  1  0  1  0  1  0  0  0  0  0  0  1  0 90],[ 0  0  0  1  0  1  1  0  0  1  0  1  1  1  0  0  0 90],[ 0  1  0  0  0  0  1  1  0  0  0  0  1  0  0  1  0 90],[ 1  0  0  0  1  0  1  0  1  1  0  1  1  0  0  0  0 90],[ 0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1 90],[ 0  1  0  1  0  1  1  0  0  1  0  0  1  1  0  0  0 90],[ 0  1  0  0  1  0  1  0  0  0  0  0  1  0  0  0  1 90],[ 0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  0  1 90],[ 1  1  0  0  1  0  1  0  0  1  0  0  1  0  0  0  0 90],[ 0  0  0  0  1  0  1  0  1  0  0  1  0  0  0  0  1 90],[ 0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  1 90],[ 0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  1  0 90],[ 0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  1 90],[ 0  0  1  0  0  0  0  1  0  0  0  1  1  0  0  0  1 90],[ 1  0  0  0  1  0  1  0  0  1  0  1  0  0  1  0  0 90],[ 0  1  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0 90],[ 0  0  1  1  0  0  0  0  0  1  0  1  1  1  0  0  0 90],[ 0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  1 90],[ 1  0  0  0  1  0  1  0  0  0  0  1  1  0  1  0  1 90],[ 0  0  0  0  0  0  0  1  1  1  0  1  1  0  0  0  0 90],[ 0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0 90],[ 0  0  0  1  0  1  0  0  1  1  0  1  0  1  0  0  0 90],[ 0  0  1  0  1  0  1  0  0  0  0  1  0  0  0  0  1 10],[ 0  1  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0 10],[ 0  0  0  0  1  0  1  0  1  0  0  1  1  0  0  0  1 10],[ 0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0 10],[ 0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1 90],[ 1  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  0 90],[ 1  1  0  0  1  0  1  0  0  0  0  0  1  0  0  0  1 90],[ 0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  1  0 90],[ 1  0  0  0  1  0  0  0  1  0  0  1  1  0  0  0  1 90],[ 0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  1 10],[ 0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0 10],[ 0  0  0  0  1  0  1  0  0  1  0  1  0  0  0  0  0 90],[ 0  0  0  0  0  0  0  1  1  1  0  1  1  0  0  0  0 10],[ 1  0  0  0  1  0  1  0  1  0  0  1  0  0  0  1  0 90],[ 0  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  0 10],[ 0  1  0  1  0  1  0  0  0  0  0  0  1  1  0  1  0 90],[ 0  1  0  1  0  1  1  0  0  0  0  0  0  1  0  1  0 90],[ 0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  1  0 90],[ 1  0  0  0  1  0  0  0  1  0  0  1  1  0  0  1  0 90],[ 0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0 10],[ 0  0  0  1  0  1  0  0  0  1  0  1  1  1  0  0  0 90],[ 0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1 10],[ 0  1  0  0  1  0  1  0  0  1  0  0  1  0  0  0  0 10],[ 0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0 10],[ 1  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1 90],[ 0  0  0  0  0  0  1  1  1  1  0  1  0  0  0  0  0 10],[ 1  1  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0 10],[ 0  1  0  1  0  1  1  0  0  0  0  0  0  1  0  1  0 10],[ 0  0  0  0  0  0  0  1  1  1  0  0  1  0  0  0  0 90],[ 1  1  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0 90],[ 0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0 10],[ 0  1  0  1  0  1  0  0  0  1  0  0  1  1  0  0  0 10],[ 0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  1 10],[ 0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  1  0 10],[ 0  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  0 10],[ 0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0 90],[ 0  1  0  1  0  1  1  0  0  1  0  0  1  1  0  0  0 10],[ 1  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0 90],[ 0  0  0  0  1  0  1  0  1  1  0  1  1  0  0  0  0 10],[ 0  0  0  0  1  0  1  0  1  1  0  1  0  0  0  0  0 10],[ 0  1  0  1  0  1  0  0  0  1  0  0  1  1  0  0  0 90],[ 0  0  0  1  0  1  0  0  1  1  0  1  1  1  0  0  0 90],[ 1  0  0  0  1  0  1  0  0  1  0  1  1  0  1  0  0 90],[ 0  0  0  1  0  1  0  0  0  0  0  1  1  1  1  0  1 90],[ 0  0  0  0  0  0  1  1  1  1  0  1  1  0  0  0  0 10],[ 0  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0 10],[ 0  1  0  1  0  1  0  0  0  1  0  0  0  1  0  0  0 90],[ 0  1  0  0  0  0  1  1  0  1  0  0  1  0  0  0  0 90],[ 0  1  0  0  0  0  1  1  0  1  0  0  1  0  0  0  0 10],[ 0  1  0  1  0  1  0  0  0  0  0  0  1  1  0  1  0 10],[ 0  1  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0 10],[ 0  1  0  1  0  0  1  0  0  1  0  1  1  1  0  0  0 10],[ 0  0  0  0  0  0  0  1  1  1  0  0  1  0  0  0  0 10],[ 0  0  0  1  0  1  0  0  1  0  0  0  1  1  0  1  0 10],[ 0  1  0  1  0  1  0  0  0  0  0  0  0  1  0  1  0 10],[ 0  1  0  1  0  0  1  0  0  0  0  0  1  1  0  0  1 10],[ 0  0  0  0  1  0  1  0  0  1  0  1  1  0  0  0  0 10],[ 0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1 10],[ 1  1  0  0  1  0  1  0  0  1  0  0  1  0  0  0  0 10],[ 1  1  0  0  1  0  1  0  0  0  0  0  1  0  0  1  0 10],[ 0  0  0  1  0  1  0  0  0  1  0  1  0  1  1  0  0 10],[ 1  0  0  0  1  0  0  0  0  0  0  1  1  0  1  0  1 90],[ 0  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  0 90],[ 1  0  0  0  1  0  0  0  1  1  0  1  1  0  0  0  0 10],[ 1  0  0  0  1  0  1  0  1  0  0  1  0  0  0  0  1 90],[ 0  0  0  1  0  1  0  0  1  1  0  1  0  1  0  0  0 10],[ 1  0  1  0  1  0  1  0  0  0  0  1  0  0  0  0  1 90],[ 0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0 90],[ 0  0  0  1  0  1  0  0  1  1  0  1  1  1  0  0  0 10],[ 0  1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0 90],[ 0  0  0  0  1  0  1  0  1  1  0  0  1  0  0  0  0 10],[ 1  0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  1 90],[ 0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0 10],[ 0  0  1  1  0  0  0  0  0  1  0  1  0  1  0  0  0 90],[ 0  0  1  1  0  0  1  0  0  0  0  1  1  0  0  0  1 90],[ 1  0  0  0  1  0  1  0  1  1  0  1  0  0  0  0  0 90],[ 0  0  0  1  0  1  0  0  1  0  0  0  1  1  0  1  0 90],[ 0  0  0  1  0  1  1  0  1  1  0  1  0  1  0  0  0 90],[ 1  0  0  0  1  0  1  0  1  1  0  0  1  0  0  0  0 10],[ 0  0  0  0  0  0  1  1  1  1  0  1  0  0  0  0  0 90],[ 0  1  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0 90],[ 0  0  0  0  0  0  1  1  0  1  0  1  0  0  0  0  0 10],[ 0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  0  0 10],[ 0  0  1  1  0  0  1  0  0  1  0  1  1  0  0  0  0 10],[ 0  0  1  0  0  0  0  1  0  1  0  1  1  0  0  0  0 10],[ 1  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  1 90],[ 0  1  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0 90],[ 0  0  0  1  0  1  0  0  0  1  0  1  0  1  0  0  0 90],[ 0  0  0  0  0  0  1  1  0  1  0  1  1  0  0  0  0 90],[ 0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  1 90],[ 0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  0  0 90],[ 0  0  0  0  1  0  1  0  1  1  0  0  1  0  0  0  0 90],[ 0  0  1  1  0  0  0  0  0  1  0  1  1  0  0  0  0 10],[ 0  0  0  1  0  1  0  0  1  1  0  1  0  0  0  0  0 10],[ 0  0  0  1  0  1  1  0  0  0  0  1  1  1  0  0  1 10],[ 0  0  0  1  0  0  0  0  1  1  0  1  0  1  0  0  0 90],[ 0  1  0  1  0  1  1  0  0  1  0  0  0  1  0  0  0 90],[ 0  1  0  1  0  0  1  0  0  1  0  0  1  1  0  0  0 90],[ 0  0  1  1  0  0  1  0  0  1  0  1  0  0  0  0  0 10],[ 0  0  0  0  0  0  1  1  0  0  0  1  0  0  0  0  1 90],[ 0  0  0  1  0  1  0  0  0  0  0  1  1  0  1  0  1 10],[ 1  0  0  0  1  0  0  0  0  0  0  1  1  0  1  0  1 10],[ 0  0  0  0  0  0  0  1  1  0  0  1  1  0  0  1  0 10],[ 0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  1 10],[ 0  0  0  1  0  1  1  0  1  1  0  1  1  1  0  0  0 90],[ 0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  1 10],[ 0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  1  0 10],[ 0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  1 90],[ 0  0  0  0  0  0  0  1  1  0  0  1  1  0  0  0  1 10],[ 0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  1 10],[ 0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  1 10],[ 0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  1 90],[ 0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  1 90],[ 1  0  1  0  1  0  1  0  0  0  0  1  1  0  0  0  1 90],[ 0  0  1  0  0  0  0  1  0  1  0  1  0  0  0  0  0 90],[ 0  0  1  1  0  0  1  0  0  0  0  1  1  0  0  1  0 90],[ 0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  1 90],[ 0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  1  0 90],[ 0  0  1  1  0  0  1  0  0  0  0  1  0  0  0  0  1 90],[ 0  0  0  0  0  0  0  0  0  1  1  1  0  0  1  0  0 10],[ 0  1  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0 10],[ 0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1 10],[ 0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1 10],[ 0  0  0  0  0  0  0  1  1  0  0  0  1  0  0  1  0 10],[ 0  0  1  1  0  0  0  0  0  1  0  1  1  0  0  0  0 90],[ 1  0  1  0  1  0  1  0  0  1  0  1  0  0  0  0  0 90],[ 1  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1 10]
2.21,3.73,6.63,4.12,2.74,7.08,4.07,2.15,2.2,2.13,4.94,1.98,2.27,2.29,2.68,2.27,2.21,2.21,3.57,3.33,1.92,2.63,3.58,3.75,3.2,2.71,2.08,2.17,3.08,1.94,2.19,1.94,2.4,1.84,1.89,2.3,1.97,2.3,1.96,1.92,2.25,2.16,2.64,2.46,2.22,2.0,2.16,2.17,2.23,2.15,2.18,2.31,3.42,1.85,2.21,2.45,3.65,2.37,3.66,2.31,2.34,1.91,1.89,1.98,1.84,2.26,1.98,3.65,1.92,2.43,1.86,3.01,3.5,3.84,2.15,2.92,2.11,2.79,2.18,2.21,2.9,2.35,2.13,2.32,2.22,2.15,2.34,2.63,3.51,3.68,1.96,2.41,2.59,3.39,2.63,2.72,2.23,2.22,2.38,2.6,4.92,1.89,2.17,3.03,4.68,2.13,2.06,3.15,3.69,4.73,2.32,2.93,3.1,3.51,3.57,2.34,3.53,2.24,2.95,3.41,1.79,2.13,4.42,4.54,5.08,2.12,5.23,4.42,4.93,2.81,2.07,2.66,2.59,7.13,2.37,2.67,3.06,2.29,5.53,2.22,2.47,5.33,3.34,2.71,2.24,3.37,3.61,2.81,2.35,3.64,3.61,2.86,1.89,3.67,2.25,4.95,6.78,2.52,2.22,2.06,3.42,1.86,2.47,3.31,2.27,6.54,4.38,5.06,3.34,3.36,3.45,6.86,1.94,6.23,4.05,2.18,3.06,3.56,6.64,2.19,2.55,2.33,2.75,3.95,1.88,2.89,2.18,1.96,2.84,2.5,2.81,3.02,4.12,3.83,2.12,3.82,2.11,3.07,2.2,2.72
200
